,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
31,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,40.7390867,-73.9853658,66,517,533,515,,,,
55,02M542,MANHATTAN BRIDGES HIGH SCHOOL,40.7655928,-73.9929852,66,336,378,344,,,,
85,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",40.7747793,-73.98472,66,396,398,402,,,,
105,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,40.8174583,-73.9473723,66,396,402,404,,,,
127,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,40.8109323,-73.9093063,66,420,426,411,,,,
241,12X684,WINGS ACADEMY,40.6917001,-73.9584562,66,378,374,362,,,,
140,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,40.8213444,-73.8556733,67,337,361,340,,,,
141,08X312,MILLENNIUM ART ACADEMY,40.8175846,-73.8979824,67,387,402,375,,,,
162,09X252,MOTT HALL BRONX HIGH SCHOOL,40.8394126,-73.9019033,67,369,367,356,,,,
464,32K552,ACADEMY OF URBAN PLANNING,40.756444,-73.7286847,67,342,364,354,,,,
151,08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",40.8176439,-73.8980239,68,373,370,356,,,,
202,10X546,BRONX THEATRE HIGH SCHOOL,40.8748759,-73.8952231,68,348,362,354,,,,
264,14K404,ACADEMY FOR YOUNG WRITERS,40.7154197,-73.9549291,68,387,357,381,,,,
336,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,40.6738562,-73.8961578,68,371,365,370,,,,
417,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,40.7162714,-73.7983076,68,420,445,400,,,,
429,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",40.6981894,-73.7460088,68,439,445,432,,,,
18,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",40.743248,-74.002695,69,408,390,390,,,,
213,11X290,BRONX ACADEMY OF HEALTH CAREERS,40.8740679,-73.8323227,69,387,365,383,,,,
306,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",40.6669914,-73.9511135,69,457,462,441,,,,
373,23K697,TEACHERS PREPARATORY HIGH SCHOOL,40.6956248,-73.9856659,69,392,416,388,,,,
376,24Q293,CIVIC LEADERSHIP ACADEMY,40.7439998,-73.9350125,69,404,429,407,,,,
383,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,40.7600404,-73.8180648,69,326,409,329,,,,
2,01M450,EAST SIDE COMMUNITY SCHOOL,40.7293824,-73.982502,70,377,402,370,,,,
95,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,40.7851693,-73.9422154,70,432,446,448,,,,
110,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,40.8659143,-73.925157,70,380,395,399,,,,
300,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,40.6495006,-73.9571733,71,287,335,291,,,,
44,02M449,VANGUARD HIGH SCHOOL,29.143632,-82.066796,72,395,416,388,,,,
211,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,40.8603116,-73.8602433,72,381,376,354,,,,
220,11X513,NEW WORLD HIGH SCHOOL,40.8751619,-73.8616096,72,332,381,335,,,,
240,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,40.697313,-73.9846925,72,342,346,341,,,,
252,13K499,ACORN COMMUNITY HIGH SCHOOL,40.6958629,-73.9855862,72,384,364,368,,,,
265,14K449,"BROOKLYN LATIN SCHOOL, THE",40.7154923,-73.9550398,72,586,584,570,,,,
271,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,40.7224451,-73.9532235,72,363,385,364,,,,
282,15K464,PARK SLOPE COLLEGIATE,40.6838346,-73.9803552,72,379,416,380,,,,
56,02M543,NEW DESIGN HIGH SCHOOL,40.7173162,-73.989318,73,391,395,382,,,,
94,04M555,CENTRAL PARK EAST HIGH SCHOOL,40.792935,-73.9471679,73,405,421,395,,,,
204,10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.8751619,-73.8616096,73,362,382,356,,,,
304,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,40.6700279,-73.9610552,73,338,349,340,,,,
164,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,40.8272169,-73.9039243,74,356,363,356,,,,
207,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,40.8750988,-73.8616623,74,370,381,382,,,,
342,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.6347869,-73.9816309,74,370,369,363,,,,
406,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,40.6951872,-73.833439,74,432,419,401,,,,
428,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,40.7116047,-73.7709697,74,406,406,384,,,,
86,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,40.7748991,-73.9856157,75,433,433,411,,,,
325,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,40.6928503,-73.8689912,75,386,380,393,,,,
463,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,40.8212468,-73.488847,75,348,353,334,,,,
15,02M303,"FACING HISTORY SCHOOL, THE",40.7655356,-73.9931625,76,353,358,340,,,,
113,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,40.8562127,-73.9265543,76,365,384,378,,,,
133,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.8103944,-73.9073448,76,394,400,364,,,,
223,11X542,PELHAM PREPARATORY ACADEMY,48.7527827,-122.4725256,76,431,438,419,,,,
279,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,34.12911,-117.2636284,76,393,399,387,,,,
60,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,40.6907422,-74.0205672,77,405,423,384,,,,
284,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,40.6778434,-74.0141749,77,398,402,385,,,,
58,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,40.7173162,-73.989318,78,412,581,431,,,,
156,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,40.845264,-73.897176,78,377,359,376,,,,
158,09X231,EAGLE ACADEMY FOR YOUNG MEN,40.8394571,-73.9018947,78,373,387,374,,,,
412,27Q410,BEACH CHANNEL HIGH SCHOOL,40.708199,-73.799524,78,384,396,354,,,,
436,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",40.7654697,-73.9330529,78,400,426,394,,,,
24,02M394,EMMA LAZARUS HIGH SCHOOL,40.7165187,-73.993222,79,319,512,357,,,,
126,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,40.8145714,-73.9120401,79,403,394,404,,,,
182,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",40.8704419,-73.8969425,79,382,393,382,,,,
308,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,41.7702411,-87.6363158,79,418,441,414,,,,
160,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",40.8396148,-73.9017332,80,411,464,415,,,,
175,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",40.8434287,-73.9031094,80,404,418,402,,,,
385,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",40.7648343,-73.7897125,80,443,447,440,,,,
51,02M519,TALENT UNLIMITED HIGH SCHOOL,40.7660749,-73.9600658,81,469,472,475,,,,
163,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,38.88638,-77.094595,81,459,480,457,,,,
209,11X265,BRONX LAB SCHOOL,40.8750988,-73.8616623,81,377,391,367,,,,
69,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.7245689,-74.0048241,83,399,418,390,,,,
37,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,40.7089611,-74.0124334,84,416,426,391,,,,
65,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,40.7054431,-74.0129291,84,408,384,403,,,,
13,02M298,PACE HIGH SCHOOL,30.6133404,-87.1533875,85,423,438,432,,,,
258,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.6573166,-73.8740712,85,406,391,392,,,,
180,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,40.8755907,-73.9017195,86,373,412,365,,,,
405,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,40.5866656,-73.823435,87,387,385,373,,,,
462,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE���BUSHWICK,40.7640427,-73.9858725,88,384,409,361,,,,
257,13K595,BEDFORD ACADEMY HIGH SCHOOL,39.9827231,-104.7601654,89,438,443,431,,,,
374,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,40.7116316,-73.9091658,89,405,454,421,,,,
410,27Q323,SCHOLARS' ACADEMY,40.7141939,-73.7979008,89,499,537,496,,,,
250,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,40.6846109,-73.9478897,90,305,364,312,,,,
422,28Q470,JAMAICA HIGH SCHOOL,40.7083678,-73.8040135,90,342,368,353,,,,
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,40.71226,-73.9838742,91,383,423,366,,,,
21,02M376,NYC ISCHOOL,40.7244683,-74.004946,92,473,483,479,,,,
206,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,40.888161,-73.8524927,92,636,648,636,,,,
248,13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",40.6946578,-73.9883234,92,399,417,395,,,,
408,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,40.6892738,-73.8412316,93,423,426,416,,,,
28,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,40.7615598,-73.9884908,94,509,490,523,,,,
115,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,40.8562127,-73.9265543,94,363,378,361,,,,
274,14K610,AUTOMOTIVE HIGH SCHOOL,40.6694296,-73.9788092,94,367,376,350,,,,
458,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.6975906,-73.9130973,94,416,422,397,,,,
42,02M439,MANHATTAN VILLAGE ACADEMY,40.7418899,-73.9923147,95,441,473,458,,,,
360,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.63169,-73.9535244,95,394,414,376,,,,
212,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,40.8517178,-73.864467,97,444,471,433,,,,
441,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,40.7551568,-73.9269736,98,410,440,405,,,,
200,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,40.8553275,-73.8824109,99,414,435,414,,,,
398,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,40.601532,-73.763979,99,431,458,441,,,,
425,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,40.6680413,-73.7579342,99,513,523,502,,,,
107,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",40.8608456,-73.9301494,101,605,654,588,,,,
411,27Q400,AUGUST MARTIN HIGH SCHOOL,40.7142819,-73.7980413,101,377,371,360,,,,
262,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,40.7118806,-73.9403381,102,365,361,359,,,,
32,02M414,N.Y.C. MUSEUM SCHOOL,40.7425709,-74.0023709,103,468,492,459,,,,
29,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,40.7418485,-73.985909,104,496,563,518,,,,
251,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,40.6854101,-73.9541902,105,400,417,389,,,,
451,31R080,THE MICHAEL J. PETRIDES SCHOOL,40.6427954,-74.0792526,107,472,488,466,,,,
199,10X475,JOHN F. KENNEDY HIGH SCHOOL,33.9553481,-84.0348852,109,351,362,339,,,,
88,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,40.7747793,-73.98472,111,473,506,467,,,,
188,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),40.8704419,-73.8969425,111,390,408,383,,,,
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,40.720534,-73.985986,112,332,557,316,,,,
179,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),40.8546548,-73.8970362,113,438,455,440,,,,
272,14K561,WILLIAMSBURG PREPARATORY SCHOOL,40.6849969,-73.9930755,113,397,410,380,,,,
30,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,40.7425709,-74.0023709,114,537,590,550,,,,
135,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,40.8203983,-73.8929382,114,363,368,364,,,,
177,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,40.8876623,-73.9135704,114,384,394,388,,,,
361,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,40.6744933,-73.9132462,119,429,449,435,,,,
64,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,40.7326748,-73.9843188,121,345,517,343,,,,
215,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,40.8883728,-73.8527494,121,367,361,353,,,,
427,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,40.6679692,-73.7580558,121,612,660,596,,,,
33,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,33.953061,-117.5687528,127,572,594,592,,,,
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,40.7182547,-73.9760185,130,624,604,628,,,,
53,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,40.7576542,-73.9834089,131,414,425,400,,,,
82,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,29.5654081,-98.6463628,131,370,390,358,,,,
292,16K455,BOYS AND GIRLS HIGH SCHOOL,40.6495813,-73.9581967,131,365,370,362,,,,
367,22K555,BROOKLYN COLLEGE ACADEMY,40.7444771,-73.9367909,131,456,456,440,,,,
268,14K477,SCHOOL FOR LEGAL STUDIES,40.7224451,-73.9532235,134,413,396,395,,,,
447,30Q575,ACADEMY OF AMERICAN STUDIES,47.2215457,-122.5499922,135,487,492,491,,,,
449,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,40.5972873,-74.1251624,137,452,451,450,,,,
384,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,40.7494299,-73.82141,138,391,403,380,,,,
288,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,40.6801745,-73.9214624,141,426,421,411,,,,
269,14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",40.7222345,-73.9532927,142,398,421,396,,,,
446,30Q555,NEWCOMERS HIGH SCHOOL,40.634843,-74.142015,143,323,475,329,,,,
34,02M418,MILLENNIUM HIGH SCHOOL,33.4945373,-112.3772714,144,528,553,533,,,,
267,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,40.7097646,-73.9445188,144,364,379,371,,,,
445,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,40.5695781,-74.1073767,148,407,434,398,,,,
46,02M460,WASHINGTON IRVING HIGH SCHOOL,40.7355487,-73.9874908,151,373,387,360,,,,
70,02M620,NORMAN THOMAS HIGH SCHOOL,40.7463732,-73.9810389,154,370,379,359,,,,
378,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,40.7414438,-73.9369395,155,545,568,550,,,,
386,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,40.7387753,-73.8238923,155,417,447,406,,,,
6,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",40.7191667,-73.9797222,159,522,574,525,,,,
312,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,40.6335392,-73.9174421,165,476,481,479,,,,
49,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,40.7092906,-74.0123296,167,443,489,442,,,,
444,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,40.6081534,-74.1055942,174,504,496,494,,,,
404,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",40.6747641,-73.7832326,175,425,434,420,,,,
338,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.6134264,-74.0029406,182,395,418,380,,,,
260,13K670,BENJAMIN BANNEKER ACADEMY,40.7097423,-73.9445006,185,471,472,448,,,,
218,11X455,HARRY S TRUMAN HIGH SCHOOL,40.8596515,-73.8614651,189,386,397,368,,,,
71,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,40.7639856,-73.9903637,191,395,382,376,,,,
415,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",40.7144332,-73.7982524,194,429,491,425,,,,
104,05M499,FREDERICK DOUGLASS ACADEMY,40.8152484,-73.9443203,214,458,474,442,,,,
459,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,40.6953387,-73.9274444,227,635,682,636,,,,
117,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,40.8382195,-73.9385431,228,430,456,423,,,,
365,22K495,SHEEPSHEAD BAY HIGH SCHOOL,40.6557612,-73.9069007,236,383,392,370,,,,
345,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,40.582487,-73.9718778,238,425,474,424,,,,
381,24Q485,GROVER CLEVELAND HIGH SCHOOL,40.743204,-73.871482,241,395,420,396,,,,
313,17K600,CLARA BARTON HIGH SCHOOL,40.6480464,-73.9222115,259,425,413,413,,,,
366,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,40.6654883,-73.9120541,259,524,561,542,,,,
83,03M479,BEACON HIGH SCHOOL,40.7611541,-73.9961677,261,577,575,592,,,,
26,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,40.7679759,-73.9881796,263,465,493,461,,,,
52,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,40.7112756,-74.0016648,264,407,440,393,,,,
72,02M630,ART AND DESIGN HIGH SCHOOL,40.7591326,-73.9664438,270,444,441,430,,,,
453,31R445,PORT RICHMOND HIGH SCHOOL,40.6956248,-73.9856659,271,424,438,417,,,,
396,25Q525,TOWNSEND HARRIS HIGH SCHOOL,40.7714489,-73.7810639,278,621,651,638,,,,
379,24Q455,NEWTOWN HIGH SCHOOL,40.741992,-73.927947,320,383,440,380,,,,
402,26Q435,MARTIN VAN BUREN HIGH SCHOOL,40.6015311,-73.7639639,334,391,397,384,,,,
67,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,40.74566,-73.996412,335,423,423,411,,,,
36,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,40.7325413,-73.9828421,336,429,449,428,,,,
394,25Q460,FLUSHING HIGH SCHOOL,40.7406425,-73.7935083,347,393,441,382,,,,
92,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,40.7903307,-73.9440649,375,461,514,455,,,,
454,31R450,CURTIS HIGH SCHOOL,40.6970064,-73.9117456,375,437,435,429,,,,
347,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,40.5823896,-73.9686225,385,383,486,375,,,,
452,31R440,NEW DORP HIGH SCHOOL,40.5676214,-74.1181129,391,424,437,416,,,,
443,30Q450,LONG ISLAND CITY HIGH SCHOOL,40.581969,-74.1593599,392,403,420,395,,,,
442,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,40.5819075,-74.1590049,395,414,449,412,,,,
387,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,40.7644818,-73.8266144,396,445,496,423,,,,
414,27Q480,JOHN ADAMS HIGH SCHOOL,40.7298246,-73.8448572,403,391,409,392,,,,
413,27Q475,RICHMOND HILL HIGH SCHOOL,40.7141835,-73.7978589,404,382,404,368,,,,
146,08X405,HERBERT H. LEHMAN HIGH SCHOOL,40.8401731,-73.8393567,415,412,436,393,,,,
424,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.7057537,-73.7527082,422,452,478,442,,,,
196,10X440,DEWITT CLINTON HIGH SCHOOL,42.208086,-83.2597165,443,419,426,410,,,,
357,21K540,JOHN DEWEY HIGH SCHOOL,40.6101298,-73.947968,448,404,468,390,,,,
344,20K445,NEW UTRECHT HIGH SCHOOL,40.5936235,-73.9861442,456,402,471,399,,,,
423,28Q505,HILLCREST HIGH SCHOOL,40.6682778,-73.756888,462,395,413,386,,,,
353,21K410,ABRAHAM LINCOLN HIGH SCHOOL,40.5832553,-73.9634295,475,396,437,393,,,,
364,22K425,JAMES MADISON HIGH SCHOOL,40.6775666,-73.9040643,518,436,475,439,,,,
84,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,40.7741856,-73.9851211,531,566,564,577,,,,
456,31R460,SUSAN E. WAGNER HIGH SCHOOL,40.696834,-73.9117008,535,455,474,459,,,,
393,25Q425,JOHN BOWNE HIGH SCHOOL,40.7519018,-73.7565313,558,397,451,395,,,,
346,20K490,FORT HAMILTON HIGH SCHOOL,40.5935726,-73.985987,694,417,478,411,,,,
403,26Q495,BAYSIDE HIGH SCHOOL,40.5842665,-73.8251698,708,462,523,464,,,,
356,21K525,EDWARD R. MURROW HIGH SCHOOL,40.632833,-73.9523773,727,468,496,467,,,,
198,10X445,BRONX HIGH SCHOOL OF SCIENCE,40.8774191,-73.9132583,731,632,688,649,,,,
421,28Q440,FOREST HILLS HIGH SCHOOL,40.6859426,-73.783534,762,456,497,454,,,,
455,31R455,TOTTENVILLE HIGH SCHOOL,40.6947519,-73.9292674,807,462,486,470,,,,
363,22K405,MIDWOOD HIGH SCHOOL,40.6558268,-73.9066342,824,478,519,476,,,,
48,02M475,STUYVESANT HIGH SCHOOL,40.7179842,-74.0138707,832,679,735,682,,,,
400,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,40.601532,-73.763979,888,480,545,489,,,,
401,26Q430,FRANCIS LEWIS HIGH SCHOOL,40.6709381,-73.8456699,934,468,539,467,,,,
249,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,40.6846109,-73.9478897,1277,587,659,587,,,,
