,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
276,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,40.6694296,-73.9788092,28,359,335,341,,,816-825,824
287,15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,40.6884532,-73.9207644,28,368,365,368,,,826-835,832
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,40.7134455,-73.9860332,29,355,404,363,,,886-895,888
39,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,40.7364053,-73.9957205,29,356,357,349,,,926-935,934
98,05M285,HARLEM RENAISSANCE HIGH SCHOOL,40.817349,-73.94745,29,357,318,333,,,1276-1285,1277
244,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,40.6973449,-73.9844964,29,352,349,373,,,Total general,46445
253,13K509,FREEDOM ACADEMY HIGH SCHOOL,40.6925078,-73.9581585,29,400,390,403,,,,
317,18K566,BROOKLYN GENERATION SCHOOL,40.6409517,-73.8976898,29,374,377,394,,,,
337,19K583,MULTICULTURAL HIGH SCHOOL,40.6695156,-73.8741107,29,279,322,286,,,,
62,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.7653683,-73.9596962,30,527,508,512,,,,
165,09X276,LEADERSHIP INSTITUTE,40.8281781,-73.9175579,30,361,353,367,,,,
229,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,40.8233601,-73.8982976,30,361,353,360,,,,
233,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,40.8320451,-73.8783844,30,321,351,298,,,,
97,04M680,"HERITAGE SCHOOL, THE",40.807763,-73.939957,31,358,351,345,,,,
242,12X690,MONROE ACADEMY FOR BUSINESS/LAW,40.6975191,-73.9847778,31,375,387,376,,,,
273,14K586,LYONS COMMUNITY SCHOOL,40.7425709,-74.0023709,31,371,377,355,,,,
80,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,40.8025744,-73.9541403,32,371,368,370,,,,
171,09X404,SCHOOL FOR EXCELLENCE,40.8396545,-73.911386,32,363,360,351,,,,
471,75Q811,P.S. Q811,0,0,32,429,444,433,,,,
63,02M570,SATELLITE ACADEMY HIGH SCHOOL,40.7475241,-73.990437,33,350,337,345,,,,
101,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,40.8159292,-73.9559613,33,354,366,342,,,,
159,09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",40.8339721,-73.9027472,33,372,355,357,,,,
324,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,40.6610312,-73.8869552,33,393,395,381,,,,
121,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,40.8188138,-73.9056043,34,310,324,311,,,,
172,09X412,BRONX HIGH SCHOOL OF BUSINESS,40.8396545,-73.911386,34,356,376,351,,,,
232,12X278,PEACE AND DIVERSITY ACADEMY,40.8232973,-73.8987443,34,390,401,364,,,,
87,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,40.7971309,-73.9667832,35,401,369,351,,,,
174,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,40.8337212,-73.9038974,35,379,364,379,,,,
302,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",40.6593652,-73.9431462,35,348,381,359,,,,
327,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,40.6675989,-73.8947925,35,363,381,367,,,,
68,02M605,HUMANITIES PREPARATORY ACADEMY,40.743248,-74.002695,36,426,403,426,,,,
230,12X267,BRONX LATIN,40.8324461,-73.8781481,36,408,432,411,,,,
294,16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,40.6699492,-73.9617021,36,370,372,351,,,,
409,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,40.697102,-73.7865575,36,367,379,348,,,,
